wine_id,vineyard_id,name,classification,year,rating,location,appelation
75,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2015,4.4,Cafayate,Felix
76,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2013,,Cafayate,Felix
77,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2008,4.6,Cafayate,Felix
78,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2007,4.55,Cafayate,Felix
79,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2006,,Cafayate,Felix
80,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2005,4.2,Cafayate,Felix
81,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2004,4.25,Cafayate,Felix
82,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,1994,,Cafayate,Felix
83,45533,Bianchi Cabernet Franc Signature Selection,Red,2019,,Paso Robles,Signature Selection
84,45533,Bianchi Cabernet Franc Signature Selection,Red,2018,0.05,Paso Robles,Signature Selection
85,45533,Bianchi Cabernet Franc Signature Selection,Red,2015,,Paso Robles,Signature Selection
86,45533,Bianchi Cabernet Franc Signature Selection,Red,2011,,Paso Robles,Signature Selection
87,45533,Bianchi Cabernet Franc Signature Selection,Red,2010,,Paso Robles,Signature Selection
88,45533,Bianchi Cabernet Franc Signature Selection,Red,2008,4.6,Paso Robles,Signature Selection
89,45533,Bianchi Cabernet Franc Signature Selection,Red,2006,4.35,Paso Robles,Signature Selection
90,45533,Bianchi Cabernet Franc Signature Selection,Red,2005,,Paso Robles,Signature Selection
91,45533,Bianchi Cabernet Franc Signature Selection,Red,2004,4.45,Paso Robles,Signature Selection
92,45533,Bianchi Cabernet Franc Signature Selection Plummer Vineyard,Red,2015,,Paso Robles,Signature Selection
93,45533,Bianchi Cabernet Franc Signature Selection Plummer Vineyard,Red,2013,4.4,Paso Robles,Signature Selection
94,45533,Bianchi Cabernet Franc Signature Selection Plummer Vineyard,Red,2012,,Paso Robles,Signature Selection
95,45533,Bianchi Cabernet Franc Signature Selection Plummer Vineyard,Red,2010,4.35,Paso Robles,Signature Selection
96,45533,Bianchi Cabernet Franc Signature Selection Smoot Vineyards,Red,2006,,Paso Robles,Signature Selection
97,45533,Bianchi Cabernet Franc Signature Selection Smoot Vineyards,Red,2005,4.4,Paso Robles,Signature Selection
98,45533,Bianchi Cabernet Franc Signature Selection Smoot Vineyards,Red,2004,,Paso Robles,Signature Selection
99,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2021,,Paso Robles,Signature Selection
100,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2019,4.6,Paso Robles,Signature Selection
101,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2018,4.55,Paso Robles,Signature Selection
102,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2017,4.35,Paso Robles,Signature Selection
103,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2016,,Paso Robles,Signature Selection
104,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2015,4.5,Paso Robles,Signature Selection
105,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2014,4.4,Paso Robles,Signature Selection
106,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2013,4.5,Paso Robles,Signature Selection
107,45533,Bianchi Cabernet Sauvignon Signature Selection,Red,2012,4.35,Paso Robles,Signature Selection
108,45633,Erath Pinot Noir Hyland Vineyard,Red,2019,,McMinnville,Hyland
109,45633,Erath Pinot Noir Hyland Vineyard,Red,2018,,McMinnville,Hyland
110,45633,Erath Pinot Noir Hyland Vineyard,Red,2017,4.45,McMinnville,Hyland
111,45633,Erath Pinot Noir Hyland Vineyard,Red,2016,4.55,McMinnville,Hyland
112,45633,Erath Pinot Noir Hyland Vineyard,Red,2015,,McMinnville,Hyland
113,45633,Erath Pinot Noir Hyland Vineyard,Red,2014,,McMinnville,Hyland
114,45633,Erath Pinot Noir Hyland Vineyard,Red,2012,4.5,McMinnville,Hyland
115,45633,Erath Pinot Noir Hyland Vineyard,Red,2011,4.4,McMinnville,Hyland
116,45633,Erath Pinot Noir Hyland Vineyard,Red,2010,4.45,McMinnville,Hyland
117,45633,Erath Pinot Noir Hyland Vineyard,Red,2009,4.5,McMinnville,Hyland
118,45633,Erath Pinot Noir Hyland Vineyard,Red,2006,4.55,McMinnville,Hyland
119,53948,RAM Cellars Cabernet Franc Alder Ridge Vineyard,Red,2021,4.55,Columbia Valley,Alder Ridge Vineyard
120,53948,RAM Cellars Cabernet Franc Alder Ridge Vineyard,Red,2016,4.6,Columbia Valley,Alder Ridge Vineyard
121,53948,RAM Cellars Cabernet Franc Alder Ridge Vineyard,Red,2015,,Columbia Valley,Alder Ridge Vineyard
122,53948,RAM Cellars Malbec Alder Ridge Vineyard,Red,2022,,Columbia Valley,Alder Ridge Vineyard
123,53948,RAM Cellars Malbec Alder Ridge Vineyard,Red,2021,,Columbia Valley,Alder Ridge Vineyard
124,53948,RAM Cellars Malbec Alder Ridge Vineyard,Red,2016,,Columbia Valley,Alder Ridge Vineyard
125,53948,RAM Cellars Malbec Alder Ridge Vineyard,Red,2015,,Columbia Valley,Alder Ridge Vineyard
126,53948,RAM Cellars Malbec Alder Ridge Vineyard,Red,2014,,Columbia Valley,Alder Ridge Vineyard
127,53948,RAM Cellars Petit Verdot Alder Ridge Vineyard,Red,2018,,Columbia Valley,Alder Ridge Vineyard
128,27,Sevtap Winery Sauvignon Blanc Golden Horn,White,2015,,Santa Ynez Valley,Golden Horn
129,28,Basel Cellars Inspired,Red,2017,4.6,Columbia Valley,Inspired
130,28,Basel Cellars Inspired,Red,2016,4.5,Columbia Valley,Inspired
131,28,Basel Cellars Inspired,Red,2015,4.5,Columbia Valley,Inspired
132,28,Basel Cellars Inspired,Red,2014,4.5,Columbia Valley,Inspired
133,28,Basel Cellars Inspired,Red,2013,4.45,Columbia Valley,Inspired
134,28,Basel Cellars Inspired,Red,2012,0.05,Columbia Valley,Inspired
135,28,Basel Cellars Inspired,Red,2010,3.95,Columbia Valley,Inspired
136,28,Basel Cellars Inspired,Red,2009,4.5,Columbia Valley,Inspired
137,28,Basel Cellars Inspired,Red,2008,4.3,Columbia Valley,Inspired
138,28,Basel Cellars Inspired,Red,2007,4.5,Columbia Valley,Inspired
139,28,Basel Cellars Inspired,Red,2006,4.5,Columbia Valley,Inspired
140,28,Basel Cellars Inspired,Red,2005,4.45,Columbia Valley,Inspired
141,34,Mulvane Wine Company The Cypher,Red,2013,4.35,Napa Valley,The Cypher
142,57236,Clos Joliette J de Joliette,White,2014,,Southwest France,La Réserve
143,57236,Clos Joliette J de Joliette,White,2010,,Southwest France,La Réserve
144,57236,Clos Joliette J de Joliette,White,2001,,Southwest France,La Réserve
145,57236,Clos Joliette J de Joliette,White,1995,,Southwest France,La Réserve
146,57236,os Joliette J de Joliette,White,2013,,Southwest France,La Réserve
147,38,Mitolo Sangiovese Jester,Red,2008,,McLaren Vale,Jester Sangiovese
148,38,Mitolo Sangiovese Jester Rosé,Rosé,2024,,McLaren Vale,Jester Sangiovese
149,38,Mitolo Sangiovese Jester Rosé,Rosé,2023,,McLaren Vale,Jester Sangiovese
150,38,Mitolo Sangiovese Jester Rosé,Rosé,2022,,McLaren Vale,Jester Sangiovese
151,38,Mitolo Sangiovese Jester Rosé,Rosé,2021,,McLaren Vale,Jester Sangiovese
152,38,Mitolo Sangiovese Jester Rosé,Rosé,2020,,McLaren Vale,Jester Sangiovese
153,38,Mitolo Sangiovese Jester Rosé,Rosé,2019,,McLaren Vale,Jester Sangiovese
154,38,Mitolo Sangiovese Jester Rosé,Rosé,2018,,McLaren Vale,Jester Sangiovese
155,38,Mitolo Sangiovese Jester Rosé,Rosé,2017,,McLaren Vale,Jester Sangiovese
156,38,Mitolo Sangiovese Jester Rosé,Rosé,2016,,McLaren Vale,Jester Sangiovese
157,38,Mitolo Sangiovese Jester Rosé,Rosé,2015,,McLaren Vale,Jester Sangiovese
158,38,Mitolo Sangiovese Jester Rosé,Rosé,2014,,McLaren Vale,Jester Sangiovese
159,38,Mitolo Sangiovese Jester Rosé,Rosé,2013,,McLaren Vale,Jester Sangiovese
160,38,Mitolo Sangiovese Jester Rosé,Rosé,2012,4.5,McLaren Vale,Jester Sangiovese
161,38,Mitolo Sangiovese Jester Rosé,Rosé,2011,4.5,McLaren Vale,Jester Sangiovese
162,38,Mitolo Sangiovese Jester Rosé,Rosé,2010,,McLaren Vale,Jester Sangiovese
163,38,Mitolo Sangiovese Jester Rosé,Rosé,2009,4.4,McLaren Vale,Jester Sangiovese
164,38,Mitolo Sangiovese Jester Rosé,Rosé,2008,4.25,McLaren Vale,Jester Sangiovese
165,38,Mitolo Sangiovese Jester Rosé,Rosé,2007,4.35,McLaren Vale,Jester Sangiovese
166,38,Mitolo Sangiovese Jester Rosé,Rosé,2006,4.3,McLaren Vale,Jester Sangiovese
167,38,Mitolo Sangiovese Jester Rosé,Rosé,2005,,McLaren Vale,Jester Sangiovese
168,40,Passaggio Merlot Blau Vineyards,Red,2014,4.35,Knights Valley,Blau Vineyards
169,13511,Ferrari-Carano Siena,Red,2022,4.35,Sonoma County,Siena
170,13511,Ferrari-Carano Siena,Red,2021,4.15,Sonoma County,Siena
171,13511,Ferrari-Carano Siena,Red,2019,4.55,Sonoma County,Siena
172,13511,Ferrari-Carano Siena,Red,2018,4.4,Sonoma County,Siena
173,13511,Ferrari-Carano Siena,Red,2017,4.4,Sonoma County,Siena
174,13511,Ferrari-Carano Siena,Red,2016,4.4,Sonoma County,Siena
175,13511,Ferrari-Carano Siena,Red,2015,4.4,Sonoma County,Siena
176,13511,Ferrari-Carano Siena,Red,2014,4.4,Sonoma County,Siena
177,13511,Ferrari-Carano Siena,Red,2013,4.45,Sonoma County,Siena
178,13511,Ferrari-Carano Siena,Red,2012,4.35,Sonoma County,Siena
179,13511,Ferrari-Carano Siena,Red,2011,4.4,Sonoma County,Siena
180,13511,Ferrari-Carano Siena,Red,2010,4.35,Sonoma County,Siena
181,13511,Ferrari-Carano Siena,Red,2009,4.4,Sonoma County,Siena
182,13511,Ferrari-Carano Siena,Red,2008,4.3,Sonoma County,Siena
183,13511,Ferrari-Carano Siena,Red,2007,4.35,Sonoma County,Siena
184,13511,Ferrari-Carano Siena,Red,2006,4.35,Sonoma County,Siena
185,13511,Ferrari-Carano Siena,Red,2005,4.3,Sonoma County,Siena
186,13511,Ferrari-Carano Siena,Red,2004,4.35,Sonoma County,Siena
187,13511,Ferrari-Carano Siena,Red,2003,4.35,Sonoma County,Siena
188,13511,Ferrari-Carano Siena,Red,2002,4.35,Sonoma County,Siena
189,13511,Ferrari-Carano Siena,Red,2001,4.35,Sonoma County,Siena
190,13511,Ferrari-Carano Siena,Red,2000,4.25,Sonoma County,Siena
191,13511,Ferrari-Carano Siena,Red,1999,4.4,Sonoma County,Siena
192,13511,Ferrari-Carano Siena,Red,1998,4.4,Sonoma County,Siena
193,13511,Ferrari-Carano Siena,Red,1997,4.35,Sonoma County,Siena
194,38093,Franciscan Estate Cabernet Franc (Magnificat Blending Seminar),Red,2006,4.55,Napa Valley,Magnificat
195,38093,Franciscan Estate Cabernet Franc (Magnificat Blending Seminar),Red,2004,4.55,Napa Valley,Magnificat
196,38093,Franciscan Estate Cabernet Franc (Magnificat Blending Seminar),Red,2000,,Napa Valley,Magnificat
197,38093,Franciscan Estate Cabernet Franc (Magnificat Blending Seminar),Red,1995,,Napa Valley,Magnificat
198,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2015,,Napa Valley,Magnificat
199,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2014,,Napa Valley,Magnificat
200,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2013,4.45,Napa Valley,Magnificat
201,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2012,4.4,Napa Valley,Magnificat
202,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2011,,Napa Valley,Magnificat
203,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2010,4.4,Napa Valley,Magnificat
204,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2009,4.25,Napa Valley,Magnificat
205,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2008,,Napa Valley,Magnificat
206,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2007,4.45,Napa Valley,Magnificat
207,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2006,4.5,Napa Valley,Magnificat
208,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2005,4.6,Napa Valley,Magnificat
209,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2003,4.35,Napa Valley,Magnificat
210,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2002,4.55,Napa Valley,Magnificat
211,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2001,4.4,Napa Valley,Magnificat
212,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,2000,4.3,Napa Valley,Magnificat
213,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,1999,,Napa Valley,Magnificat
214,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,1998,,Napa Valley,Magnificat
215,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,1997,,Napa Valley,Magnificat
216,38093,Franciscan Estate Cabernet Sauvignon (Magnificat Blending Seminar),Red,1994,,Napa Valley,Magnificat
217,38093,Franciscan Estate Magnificat,Red,2018,4.55,Napa Valley,Magnificat
218,38093,Franciscan Estate Magnificat,Red,2017,4.55,Napa Valley,Magnificat
219,57327,Heron Hill Vineyards Blaufränkisch Ingle Vineyard,Red,2023,,Finger Lakes,Ingle Vineyard
220,57327,Heron Hill Vineyards Blaufränkisch Ingle Vineyard,Red,2020,,Finger Lakes,Ingle Vineyard
221,57327,Heron Hill Vineyards Blaufränkisch Ingle Vineyard,Red,2019,,Finger Lakes,Ingle Vineyard
222,57327,Heron Hill Vineyards Blaufränkisch Ingle Vineyard,Red,2018,,Finger Lakes,Ingle Vineyard
223,57327,Heron Hill Vineyards Blaufränkisch Ingle Vineyard,Red,2017,,Finger Lakes,Ingle Vineyard
224,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2022,4.45,Finger Lakes,Ingle Vineyard
225,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2020,4.2,Finger Lakes,Ingle Vineyard
226,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2019,4.35,Finger Lakes,Ingle Vineyard
227,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2017,4.3,Finger Lakes,Ingle Vineyard
228,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2016,4.35,Finger Lakes,Ingle Vineyard
229,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2015,4.25,Finger Lakes,Ingle Vineyard
230,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2014,4.25,Finger Lakes,Ingle Vineyard
231,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2013,4.25,Finger Lakes,Ingle Vineyard
232,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2012,4.7,Finger Lakes,Ingle Vineyard
233,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2011,4.35,Finger Lakes,Ingle Vineyard
234,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2010,4.2,Finger Lakes,Ingle Vineyard
235,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2009,4.4,Finger Lakes,Ingle Vineyard
236,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2008,4.3,Finger Lakes,Ingle Vineyard
237,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2007,4.4,Finger Lakes,Ingle Vineyard
238,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2005,4.45,Finger Lakes,Ingle Vineyard
239,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2004,4.25,Finger Lakes,Ingle Vineyard
240,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyard,Red,2002,4.3,Finger Lakes,Ingle Vineyard
241,57327,Heron Hill Vineyards Cabernet Franc Ingle Vineyards Heron Hill,Red,2006,,Keuka Lake,Ingle Vineyard
242,57327,Heron Hill Vineyards Cabernet Franc Rosé Ingle Vineyard,Rosé,2006,4.45,Finger Lakes,Ingle Vineyard
243,57327,Heron Hill Vineyards Chardonnay Ingle Vineyard,White,2019,,Finger Lakes,Ingle Vineyard
244,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2023,,Seneca Lake,Red Oak Vineyard
245,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2021,4.4,Seneca Lake,Red Oak Vineyard
246,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2020,4.45,Seneca Lake,Red Oak Vineyard
247,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2019,4.4,Seneca Lake,Red Oak Vineyard
248,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2018,4.4,Seneca Lake,Red Oak Vineyard
249,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2017,4.5,Seneca Lake,Red Oak Vineyard
250,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2016,4.5,Seneca Lake,Red Oak Vineyard
251,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2015,,Seneca Lake,Red Oak Vineyard
252,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2014,4.45,Seneca Lake,Red Oak Vineyard
253,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2013,4.45,Seneca Lake,Red Oak Vineyard
254,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2012,4.4,Seneca Lake,Red Oak Vineyard
255,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2011,4.5,Seneca Lake,Red Oak Vineyard
256,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2010,4.5,Seneca Lake,Red Oak Vineyard
257,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2009,0.05,Seneca Lake,Red Oak Vineyard
258,42627,Lamoreaux Landing Riesling Red Oak Vineyard,White,2008,4.35,Seneca Lake,Red Oak Vineyard
259,51,Antinori Pinot Bianco Villa Antinori,White,2023,,Toscana IGT,Villa Antinori
260,54312,Martin Ranch Winery Carignane J.D. Hurley,Red,2014,,Santa Clara Valley,J.D. Hurley
261,54312,Martin Ranch Winery Carignane J.D. Hurley,Red,2011,,Santa Clara Valley,J.D. Hurley
262,54312,Martin Ranch Winery Carignane J.D. Hurley,Red,2010,,Santa Clara Valley,J.D. Hurley
263,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2020,,Santa Clara Valley,J.D. Hurley
264,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2019,,Santa Clara Valley,J.D. Hurley
265,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2018,,Santa Clara Valley,J.D. Hurley
266,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2017,,Santa Clara Valley,J.D. Hurley
267,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2016,,Santa Clara Valley,J.D. Hurley
268,54312,Martin Ranch Winery Merlot J.D. Hurley,Red,2015,,Santa Clara Valley,J.D. Hurley
